# Mənbə: GeoNames (https://www.geonames.org) cities15000 — CC BY 4.0.
# Sütunlar: ad<TAB>qatlanmış adlar (|)<TAB>ölkə<TAB>enlik<TAB>uzunluq<TAB>hündürlük(m)
# Sıra ƏHALİYƏ görə azalandır — axtarış böyük şəhərləri əvvəl qaytarsın deyə;
# bu, ayrıca əhali sütunu saxlamağı lazımsız edir.
Huế	hue|hyue	VN	16.462	107.595	8
Milan	milan|milano	IT	45.464	9.190	122
Wenling	wenling	CN	28.375	121.384	6
Najafgarh	najafgarh	IN	28.609	76.980	215
Lianjiang	lianjiang	CN	21.647	110.282	46
N'Djamena	n djamena|ndzhamena	TD	12.107	15.044	299
Handan	handan	CN	36.610	114.488	61
Bannu	bannu	PK	32.985	70.604	379
Yichang	yichang|ichan	CN	30.714	111.285	63
Antananarivo	antananarivo|antananarivu	MG	-18.914	47.536	1274
Heze	heze|hetsze	CN	35.239	115.474	53
Guarulhos	guarulhos|guarulyus	BR	-23.463	-46.533	774
Abobo	abobo	CI	5.416	-4.016	105
Jamshedpur	jamshedpur|cemsidpur|dzhamshedpur	IN	22.803	86.185	171
Douala	douala|duala	CM	4.048	9.704	19
Antalya	antalya|antaliya	TR	36.908	30.696	61
Gaozhou	gaozhou	CN	21.920	110.857	28
Basrah	basrah|besre|basra	IQ	30.509	47.780	4
Dallas	dallas	US	32.783	-96.807	128
Benxi	benxi|bensi	CN	41.289	123.765	212
Saitama	saitama	JP	35.908	139.657	16
Niamey	niamey	NE	13.514	2.110	206
Liupanshui	liupanshui|lyupanshuy	CN	26.594	104.833	1799
Taguig	taguig|tagig	PH	14.524	121.079	5
Maoming	maoming|maomin	CN	21.666	110.914	31
Calgary	calgary|kalqari|kalgari	CA	51.050	-114.085	1048
Tripoli	tripoli|trablus	LY	32.887	13.187	15
Madinah	madinah|medine|medina	SA	24.469	39.614	603
Yaoundé	yaounde|yaunde	CM	3.867	11.517	726
Batam	batam	ID	1.149	104.025	38
Qinzhou	qinzhou|tsinchzhou	CN	21.982	108.651	12
Luohe	luohe|lohe	CN	33.574	114.033	67
Xiangyang	xiangyang|syanyan	CN	32.042	112.145	71
Yangjiang	yangjiang|yantszyan	CN	21.856	111.963	15
Huazhou	huazhou	CN	21.633	110.583	35
Yixing	yixing	CN	31.361	119.820	8
Pimpri	pimpri	IN	18.623	73.807	571
Da Nang	da nang|danang	VN	16.068	108.221	11
Amman	amman	JO	31.955	35.945	757
Budta	budta	PH	7.204	124.440	4
Belgrade	belgrade|belqrad|belgrad	RS	44.804	20.465	120
Biên Hòa	bien hoa|ben hoa	VN	10.945	106.824	6
Qingpu	qingpu	CN	31.154	121.114	6
Montevideo	montevideo	UY	-34.903	-56.188	34
Xiantao	xiantao	CN	30.371	113.443	36
Xuchang	xuchang	CN	34.032	113.863	71
Kalyān	kalyan	IN	19.244	73.136	10
Zigong	zigong|tszigun	CN	29.342	104.777	306
Nizhniy Novgorod	nizhniy novgorod|nizhni novqorod|nijni novgorod	RU	56.329	44.002	141
Jepara	jepara	ID	-6.592	110.671	5
Maputo	maputo|maputu	MZ	-25.966	32.583	70
Xuzhou	xuzhou|syuychzhou	CN	34.204	117.284	35
Dammam	dammam|ed dammam	SA	26.434	50.103	10
Ra’s Bayrūt	ras bayrut|ra s bayrut	LB	33.900	35.483	35
Neijiang	neijiang|neytszyan	CN	29.584	105.062	349
Shiraz	shiraz|siraz	IR	29.610	52.531	1545
Heshan	heshan|iyan	CN	28.569	112.347	73
Dombivali	dombivali|dombivli	IN	19.217	73.083	11
Kananga	kananga	CD	-5.896	22.417	643
Hechuan	hechuan	CN	29.992	106.265	222
Kazan	kazan|qazan	RU	55.789	49.122	61
Jining	jining|tszinin	CN	35.405	116.581	43
Barquisimeto	barquisimeto|barkisimeto	VE	10.065	-69.357	606
Shubrā al Khaymah	shubra al khaymah	EG	30.125	31.251	26
Putuo	putuo	CN	31.251	121.390	10
Port-au-Prince	port au prince|port o prins|port o prens	HT	18.543	-72.339	27
Suwon	suwon|suvon	KR	37.291	127.009	58
Liaocheng	liaocheng|lyaochen	CN	36.451	116.002	32
Jinzhong	jinzhong	CN	37.684	112.755	821
Callao	callao|kallao|kalyao	PE	-12.052	-77.135	5
